"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","V4","V5.y","RATE","CLASS"
"156","0sSWMn5Y1PY",4770329,2403,228,20922.4956140351,"Sports",228,4.33,"1"
"157","0ssZW_wvn2E",470048,8698,29,16208.5517241379,"Entertainment",29,4.19,"1"
"158","0T1pXsJp_go",10518417,4754,229,45931.9519650655,"Music",229,4.66,"1"
"159","0T6zp1Db-Uk",22760184,2655,642,35452,"Comedy",642,4.68,"1"
"160","0tcc7MLdbLA",11954021,6528,288,41507.0173611111,"People & Blogs",288,4.9,"1"
"161","0Tdg7O7Ti78",19737448,21142,488,40445.5901639344,"News & Politics",488,4.19,"1"
"162","0teu8ojVoIM",7222163,11240,199,36292.2763819095,"Gadgets & Games",199,4.67,"1"
"163","0Tgym93-Wq4",690137,40516,18,38340.9444444444,"Comedy",18,3.35,"2"
"164","0TvGEnGl4zI",4800767,19377,222,21625.0765765766,"Entertainment",222,4.39,"1"
"165","0U_0iXPH1v4",1860557,543,44,42285.3863636364,"Comedy",44,1,"4"
"166","0u2vmMy6ju4",60444123,127852,822,73532.996350365,"Comedy",822,4.49,"1"
"167","0U7w92UW52E",6778948,34850,159,42634.893081761,"News & Politics",159,4.6,"1"
"168","0uakveXTh40",4853253,2506,134,36218.3059701493,"Howto & DIY",134,3.29,"2"
"169","0-UfheTGCaw",26920757,56249,654,41163.2370030581,"Comedy",654,4.54,"1"
"170","0UP1OU9uQ2k",17520558,11805,555,31568.572972973,"Howto & DIY",555,3.89,"2"
"171","0uSO_iH6C9M",58966079,2814,1648,35780.3877427184,"Howto & DIY",1648,3.7,"2"
"172","0UU4C6qXFWM",15051924,1463,436,34522.7614678899,"Gadgets & Games",436,4,"1"
"173","0uXhmgqaf1U",4554645,4702,125,36437.16,"Entertainment",125,5,"1"
"174","0vgDkev9NVw",2654087,606702,64,41470.109375,"Film & Animation",64,3.7,"2"
"175","0vhVZQEzgcU",10457646,7418,254,41171.8346456693,"Music",254,4.49,"1"
"176","0VraaEaOzYQ",8042677,232639,199,40415.4623115578,"Entertainment",199,4.06,"1"
"177","0vz0qUdFaRM",8442187,27707,233,36232.5622317597,"Comedy",233,4.89,"1"
"178","0W2XUC27Z0A",11758849,32489,285,41259.1192982456,"Music",285,4.8,"1"
"179","0WdmIdgBj6A",2030608,859656,43,47223.4418604651,"Pets & Animals",43,4.62,"1"
"180","-0wZqhyavpo",NA,3254,252,NA,"Film & Animation",252,3.38,"2"
"181","0x1WX16vgf0",8326901,17029,235,35433.6212765957,"Gadgets & Games",235,4.94,"1"
"182","0x2CYhNjLQg",15956551,1511,384,41553.5182291667,"Music",384,5,"1"
"183","0xFbO4sQjPw",12765192,759,307,41580.4299674267,"Sports",307,4.86,"1"
"184","0XG3TcGFQvc",15892547,905,385,41279.3428571429,"Entertainment",385,5,"1"
"185","0xOOm1M11So",5015699,5207,115,43614.7739130435,"Music",115,4.57,"1"
"186","0xpNj9nhoH4",9767353,122567,236,41387.0889830508,"Comedy",236,4.75,"1"
"187","0XqO_TdtUB4",6798381,464718,167,40708.8682634731,"Film & Animation",167,4.82,"1"
"188","0Y1QpLDodnc",26373992,692,639,41273.8528951487,"Comedy",639,4,"1"
"189","0yaPdsuRXS0",4946915,650,119,41570.7142857143,"Pets & Animals",119,5,"1"
"190","0yHS_v_vXwk",6041399,11206,140,43152.85,"Travel & Places",140,3.12,"2"
"191","0YlRqVIfaPY",13560370,12976,327,41469.0214067278,"Music",327,4.54,"1"
"192","0YodV2niZAE",8395417,4337,209,40169.4593301435,"People & Blogs",209,4.4,"1"
"193","0yQZELKx4Rg",7484799,15630,180,41582.2166666667,"Entertainment",180,4.93,"1"
"194","0zaI__AV8y4",3958866,2331,96,41238.1875,"Gadgets & Games",96,2.67,"3"
"195","0Ze-5WezaYo",1247012,867,57,21877.4035087719,"News & Politics",57,3,"2"
"196","0zFbc5MzAxk",13471478,30236,334,40333.7664670659,"Entertainment",334,4.86,"1"
"197","0ZgBx2Ka5N0",15498977,1565,375,41330.6053333333,"Travel & Places",375,4.88,"1"
"198","0ZKu-8MAhkQ",4513301,225,181,24935.364640884,"News & Politics",181,0,"5"
"199","0ZOO5TnqpN4",6042059,1148,148,40824.722972973,"Entertainment",148,0,"5"
"200","0zT5Wwp2n3E",10694644,56742,261,40975.6475095785,"Music",261,4.72,"1"
"201","0Zwaj8BZrKE",7866027,46472,192,40968.890625,"Music",192,4.77,"1"
"202","101OEaksU0s",22864857,25011,499,45821.3567134269,"Travel & Places",499,4.85,"1"
"203","10FJiP0WyLA",10821740,892,286,37838.2517482518,"Music",286,4.12,"1"
"204","10Fwh1ajIF4",768004,1322,35,21942.9714285714,"News & Politics",35,1.67,"4"
"205","11H6HVkuTs4",17792051,15169,432,41185.3032407407,"Comedy",432,4.56,"1"
"206","12f1as8wIHw",5670611,167992,138,41091.384057971,"Howto & DIY",138,4.36,"1"
"207","13ad4sQCG08",4877845,6357,284,17175.5105633803,"Music",284,4.2,"1"
"208","147C8H6CAzI",8700630,887,234,37182.1794871795,"People & Blogs",234,5,"1"
"209","1504_WpbF6g",8124737,3633,195,41665.317948718,"Music",195,4.25,"1"
"210","158Amgo95VM",4328063,110994,104,41615.9903846154,"Entertainment",104,4.93,"1"
"211","15JI1lTiA2g",19468535,24702,469,41510.7356076759,"Comedy",469,3.97,"2"
"212","15LhDMLIIgc",2391064,563,56,42697.5714285714,"Sports",56,3,"2"
"213","15uwscA_wnM",3697970,43616,225,16435.4222222222,"Music",225,4.92,"1"
"214","15XwnJQ4kfw",22328964,1852,541,41273.5009242144,"Film & Animation",541,2.5,"3"
"215","1660aHpj8UE",914825,132,26,35185.5769230769,"Film & Animation",26,5,"1"
"216","168K5RWG808",6295871,47,94,66977.3510638298,"News & Politics",94,0,"5"
"217","16cewjeqNdw",7966019,145457,190,41926.4157894737,"Howto & DIY",190,4.74,"1"
"218","16g2o2zGRfA",6007388,27534,151,39784.0264900662,"Howto & DIY",151,4.96,"1"
"219","16u5_0EB_RU",21401660,11601,519,41236.3391136802,"Music",519,4.58,"1"
"220","1_72-1JFCdU",7231699,18002,175,41323.9942857143,"Entertainment",175,4.53,"1"
"221","172ms8tplL4",10851942,3417,265,40950.7245283019,"Entertainment",265,4.74,"1"
"222","176SLdBhj_A",23976577,32820,584,41055.7825342466,"Sports",584,4.72,"1"
"223","17A3wD6Vx7g",5619804,29984,137,41020.4671532847,"Howto & DIY",137,4.7,"1"
"224","17eXg3ohSyM",8417128,805,223,37744.9686098655,"Comedy",223,1,"4"
"225","17IDaiVFbKo",13515860,8435,331,40833.413897281,"Music",331,3.61,"2"
"226","17jplpjCaec",10925485,105541,266,41073.2518796993,"Sports",266,4.9,"1"
"227","17qIzpf4Atw",14221396,24630,344,41341.2674418605,"Music",344,2.12,"3"
"228","18boxjy8R9M",2053567,848,49,41909.5306122449,"Entertainment",49,3.86,"2"
"229","18FgnFVm5k0",15408752,77718,372,41421.376344086,"Music",372,4.81,"1"
"230","18w9pjdSCf4",2033396,22186,45,45186.5777777778,"Film & Animation",45,1.86,"4"
"231","198-5nhK_WE",5459353,201,141,38718.8156028369,"Comedy",141,5,"1"
"232","19fI5UX4cQU",4785717,2897,113,42351.4778761062,"Music",113,3.83,"2"
"233","1-9my0tsutw",13877487,47113,385,36045.4207792208,"Gadgets & Games",385,4.93,"1"
"234","19YO6fQUVEk",10528954,2059,356,29575.7134831461,"Comedy",356,4.93,"1"
"235","1AJ2Oh96CIE",11550363,73803,279,41399.1505376344,"Comedy",279,4.69,"1"
"236","1anq89bxuws",6207466,67862,149,41660.8456375839,"Entertainment",149,4.9,"1"
"237","1ASBuh72Re8",24065807,11640,581,41421.3545611016,"News & Politics",581,4.74,"1"
"238","1bA72WF02Ko",6728712,2621,160,42054.45,"Gadgets & Games",160,4.6,"1"
"239","1bfRtcinTmc",6305104,295,199,31683.9396984925,"Comedy",199,3,"2"
"240","1bTij2wcmPE",3926186,3769,97,40476.1443298969,"Howto & DIY",97,2.78,"3"
"241","1c_bblCi2qw",7391463,446,177,41759.6779661017,"Sports",177,0,"5"
"242","1cghxG1CZks",24798981,2128,599,41400.6360601002,"Travel & Places",599,5,"1"
"243","1Cp_sIB-KF0",3703887,486,87,42573.4137931034,"Gadgets & Games",87,5,"1"
"244","1Ct7PHluJiw",3652297,154330,95,38445.2315789474,"Entertainment",95,4.74,"1"
"245","1-_Did76LXQ",14961560,304318,363,41216.4187327824,"Film & Animation",363,4.79,"1"
"246","1DW8w0epAmU",142252105,1809,3604,39470.6173695893,"Sports",3604,3.88,"2"
"247","1_E34CTcY7k",24057568,26612,644,37356.4720496894,"Entertainment",644,4.57,"1"
"248","1E5OmeMbfjM",9880632,625,240,41169.3,"Music",240,4,"1"
