"","USER_ID","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE","UPLOADS","FRIENDS"
"10415","Somian","MHWVc9LoR2s",4544628,493,125,"290.451",11,NA
"6352","liuliu422","-QuoPG50vQM",3710447,491,89,"-5.92471e-108",11,NA
"6838","mastercody","IUdh3ti7nFA",8873513,491,236,"300.258",4,NA
"7881","NeoKamek","bCghQoTm-zY",4375062,490,101,"345.817",78,NA
"9178","razmiga","XIOkVM8l1k0",7108025,490,171,"1.36728e+162",49,NA
"12646","Yiough","AYseRj2XWMg",9631547,490,267,"287.535",13,NA
"227","adrosarnelli","y_BXg6CCIfg",7106041,489,330,"171.942",1,NA
"3772","ForaTv","HfGR0LGwvHs",21322721,489,517,"329.879",688,NA
"9779","sayitstruex3","2WrAmO73ilg",653891,489,15,"3.3325e-235",18,NA
"83","465sackville","0AMV7KphclI",4226600,488,102,"331.532",40,NA
"6003","KrisShred","vYaPIURhYWo",4935623,488,196,"201.012",55,NA
"6932","mbryan","pdwGquJPWC0",11427147,488,273,"334.357",8,NA
"850","autosam","qzNvw2YB9D0",11574745,487,283,"326.309",121,NA
"3498","etrain4760","nbFChs4ReEk",2415688,487,57,"333.557",135,NA
"5666","jwwetzel","4CUPvLLE0MQ",3436105,487,82,"334.491",74,NA
"6186","leehouseman","CQx7R7k0yQo",3417810,487,83,"326.451",12,NA
"84","465sackville","nfz0ovOHgU8",4985028,486,120,"331.355",40,NA
"1554","Brentmeister123","OxU5gi1K7iQ",5375566,486,149,"288.201",52,NA
"2320","cookieman8","bx6JklttbyM",2062507,486,51,"320.456",24,NA
"7179","mikazeronetwork","1Cp_sIB-KF0",3703887,486,87,"337.702",121,NA
